,@timestamp,kubernetes.container.name,mqtt_topic,uuid,ix_direction
UI5LuH0BX0lHpglpU8Dr,2021-12-14 09:34:42.581000+00:00,oem-nodejs,carChassisNumber/DENM,fc6d7d7e-2c66-400d-8f81-97a8c17f550c,recv
Uo5LuH0BX0lHpglpU8Dr,2021-12-14 09:34:42.786000+00:00,oem-nodejs,carChassisNumber/DENM,07c97308-b004-48cf-b986-b1e1541ceae5,recv
VI5LuH0BX0lHpglpU8Dr,2021-12-14 09:34:42.995000+00:00,oem-nodejs,carChassisNumber/DENM,f1d6cdca-ae47-49d0-b940-fcdc0726928b,recv
Vo5LuH0BX0lHpglpU8Dr,2021-12-14 09:34:43.136000+00:00,oem-nodejs,carChassisNumber/DENM,0a2894d0-3c40-4025-a528-e0cd963d13bc,recv
s45LuH0BX0lHpglpV8D9,2021-12-14 09:34:43.297000+00:00,oem-nodejs,carChassisNumber/DENM,5abc781e-8fff-4e37-ae8b-638a3ec727da,recv
tY5LuH0BX0lHpglpV8D9,2021-12-14 09:34:43.495000+00:00,oem-nodejs,carChassisNumber/DENM,0f9225b5-5f79-4054-884b-4b6eb4936867,recv
t45LuH0BX0lHpglpV8D9,2021-12-14 09:34:43.695000+00:00,oem-nodejs,carChassisNumber/DENM,6764819c-5239-44cf-aa37-31e2113cb587,recv
uY5LuH0BX0lHpglpV8D9,2021-12-14 09:34:43.895000+00:00,oem-nodejs,carChassisNumber/DENM,0da84d3b-df7b-420e-856f-421b0eab8765,recv
u45LuH0BX0lHpglpV8D9,2021-12-14 09:34:44.087000+00:00,oem-nodejs,carChassisNumber/DENM,bb8d23bd-439b-4ed9-8c52-64f0417aa184,recv
vY5LuH0BX0lHpglpV8D9,2021-12-14 09:34:44.326000+00:00,oem-nodejs,carChassisNumber/DENM,3da40f1c-295b-4799-aaaa-06eb17c959c8,recv
v45LuH0BX0lHpglpV8D9,2021-12-14 09:34:44.630000+00:00,oem-nodejs,carChassisNumber/DENM,82d440df-dda5-48fe-8013-2a6fc4909c52,recv
wY5LuH0BX0lHpglpV8D9,2021-12-14 09:34:44.706000+00:00,oem-nodejs,carChassisNumber/DENM,ae89babb-d529-415f-aa1c-10dd2eb9424a,recv
w45LuH0BX0lHpglpV8D9,2021-12-14 09:34:44.833000+00:00,oem-nodejs,carChassisNumber/DENM,f18dc562-9f68-4c0c-8aee-85b79ac4825a,recv
xY5LuH0BX0lHpglpV8D9,2021-12-14 09:34:44.985000+00:00,oem-nodejs,carChassisNumber/DENM,3c36d130-87f5-48b6-9039-9e5ef30ada26,recv
x45LuH0BX0lHpglpV8D9,2021-12-14 09:34:45.204000+00:00,oem-nodejs,carChassisNumber/DENM,58d221ae-d3e3-448f-8ec6-b5050bef7f02,recv
1o5LuH0BX0lHpglpXMAw,2021-12-14 09:34:45.456000+00:00,oem-nodejs,carChassisNumber/DENM,beb0488d-5c83-4bd2-8c03-dcb4f78735e3,recv
2I5LuH0BX0lHpglpXMAw,2021-12-14 09:34:45.730000+00:00,oem-nodejs,carChassisNumber/DENM,d431b926-2f04-4014-aeab-aa6a86db847e,recv
2o5LuH0BX0lHpglpXMAw,2021-12-14 09:34:45.809000+00:00,oem-nodejs,carChassisNumber/DENM,bef73085-422e-4a4e-9158-22462699cb2b,recv
3I5LuH0BX0lHpglpXMAw,2021-12-14 09:34:46.070000+00:00,oem-nodejs,carChassisNumber/DENM,b2a15f2e-343b-419d-b817-bf4fdcedb7c5,recv
9I5LuH0BX0lHpglpY8CW,2021-12-14 09:34:46.208000+00:00,oem-nodejs,carChassisNumber/DENM,efadcb85-86b7-4472-bd3c-65e10528ce0d,recv
9o5LuH0BX0lHpglpY8CW,2021-12-14 09:34:46.519000+00:00,oem-nodejs,carChassisNumber/DENM,8f44417b-8147-49a0-83dd-a19ec3492d13,recv
-I5LuH0BX0lHpglpY8CW,2021-12-14 09:34:46.588000+00:00,oem-nodejs,carChassisNumber/DENM,0a0c1eff-54f3-423d-913f-e3dda97b69c6,recv
-o5LuH0BX0lHpglpY8CW,2021-12-14 09:34:46.746000+00:00,oem-nodejs,carChassisNumber/DENM,061bb217-03c5-4599-ba56-454e7110258e,recv
_I5LuH0BX0lHpglpY8CW,2021-12-14 09:34:46.895000+00:00,oem-nodejs,carChassisNumber/DENM,7b7d166a-cf3e-4bdb-914d-9a2b2171d4a2,recv
_o5LuH0BX0lHpglpY8CW,2021-12-14 09:34:47.081000+00:00,oem-nodejs,carChassisNumber/DENM,1c7a1834-eb2c-4f54-b081-1df405d75a6c,recv
G45LuH0BX0lHpglpZ8F_,2021-12-14 09:34:47.314000+00:00,oem-nodejs,carChassisNumber/DENM,b664de07-78f2-4341-bf7d-f6455887f97c,recv
HY5LuH0BX0lHpglpZ8F_,2021-12-14 09:34:47.499000+00:00,oem-nodejs,carChassisNumber/DENM,2ad17ba4-7b00-454d-ac6b-e8ebf66daa2b,recv
H45LuH0BX0lHpglpZ8F_,2021-12-14 09:34:47.688000+00:00,oem-nodejs,carChassisNumber/DENM,9895d721-cdd5-4c9b-9c46-51912f50f60e,recv
IY5LuH0BX0lHpglpZ8F_,2021-12-14 09:34:47.889000+00:00,oem-nodejs,carChassisNumber/DENM,9a3b1cc6-7dca-46fb-9cf8-96e10c655dfe,recv
I45LuH0BX0lHpglpZ8F_,2021-12-14 09:34:48.088000+00:00,oem-nodejs,carChassisNumber/DENM,7c93581c-7bf5-478c-a50f-7d816311489f,recv
PI5LuH0BX0lHpglpa8Fr,2021-12-14 09:34:48.233000+00:00,oem-nodejs,carChassisNumber/DENM,cdaee75e-2896-45d5-80f5-70d77a2db278,recv
Po5LuH0BX0lHpglpa8Fr,2021-12-14 09:34:48.386000+00:00,oem-nodejs,carChassisNumber/DENM,187ebbf7-5184-4bc8-a563-42fe85fdaeba,recv
QI5LuH0BX0lHpglpa8Fr,2021-12-14 09:34:48.596000+00:00,oem-nodejs,carChassisNumber/DENM,5204c0e7-87d5-456b-bcc5-0a003c148ea9,recv
Qo5LuH0BX0lHpglpa8Fr,2021-12-14 09:34:48.791000+00:00,oem-nodejs,carChassisNumber/DENM,31e51c0e-1d2c-452a-b36e-c479082a0e2e,recv
RI5LuH0BX0lHpglpa8Fr,2021-12-14 09:34:48.991000+00:00,oem-nodejs,carChassisNumber/DENM,fb96db70-3ee2-4d68-a080-202b141c1cf7,recv
Ro5LuH0BX0lHpglpa8Fr,2021-12-14 09:34:49.201000+00:00,oem-nodejs,carChassisNumber/DENM,1d5f0001-e558-42fc-81ef-4eda943289e2,recv
Z45LuH0BX0lHpglpb8FW,2021-12-14 09:34:49.397000+00:00,oem-nodejs,carChassisNumber/DENM,0c4996dd-185e-419c-82e0-583047f0f60f,recv
aY5LuH0BX0lHpglpb8FW,2021-12-14 09:34:49.590000+00:00,oem-nodejs,carChassisNumber/DENM,f9765986-fef0-4642-aeb2-5a096d49a01f,recv
a45LuH0BX0lHpglpb8FW,2021-12-14 09:34:49.796000+00:00,oem-nodejs,carChassisNumber/DENM,74747d18-c207-4f6e-8030-f470be6dc774,recv
bY5LuH0BX0lHpglpb8FW,2021-12-14 09:34:49.946000+00:00,oem-nodejs,carChassisNumber/DENM,422ab593-f8a4-4145-8f33-4e8bf187db17,recv
b45LuH0BX0lHpglpb8FW,2021-12-14 09:34:50.083000+00:00,oem-nodejs,carChassisNumber/DENM,ce8113d8-517d-46af-93bb-675ad1b75951,recv
l45LuH0BX0lHpglphsLV,2021-12-14 09:34:55.407000+00:00,oem-nodejs,carChassisNumber/DENM,5768b4ea-cca9-4e72-9cbc-929d36529e2e,recv
mY5LuH0BX0lHpglphsLV,2021-12-14 09:34:55.591000+00:00,oem-nodejs,carChassisNumber/DENM,638ee8f4-5795-4ee5-93a9-f45879504e64,recv
m45LuH0BX0lHpglphsLV,2021-12-14 09:34:55.806000+00:00,oem-nodejs,carChassisNumber/DENM,56415bd8-ef4d-4560-babe-812da6b5de2a,recv
nY5LuH0BX0lHpglphsLV,2021-12-14 09:34:55.980000+00:00,oem-nodejs,carChassisNumber/DENM,495276d5-d976-4077-aff2-7af706b7bff2,recv
n45LuH0BX0lHpglphsLV,2021-12-14 09:34:56.207000+00:00,oem-nodejs,carChassisNumber/DENM,6c893952-2bce-4db7-8c79-e06ffe317ceb,recv
oo5LuH0BX0lHpglpisK-,2021-12-14 09:34:56.391000+00:00,oem-nodejs,carChassisNumber/DENM,08a53260-525f-43b0-a57e-a382b5728957,recv
pI5LuH0BX0lHpglpisK-,2021-12-14 09:34:56.588000+00:00,oem-nodejs,carChassisNumber/DENM,9767612e-0a06-414a-8b9a-b02ce7430ffa,recv
po5LuH0BX0lHpglpisK-,2021-12-14 09:34:56.792000+00:00,oem-nodejs,carChassisNumber/DENM,ad351546-6722-4f98-8229-1cabb937c627,recv
qI5LuH0BX0lHpglpisK-,2021-12-14 09:34:56.951000+00:00,oem-nodejs,carChassisNumber/DENM,3a2b7853-0c7c-4b76-be63-3e1bc695930b,recv
qo5LuH0BX0lHpglpisK-,2021-12-14 09:34:57.089000+00:00,oem-nodejs,carChassisNumber/DENM,896338bf-d5c9-45fa-a265-0e651abed174,recv
x45LuH0BX0lHpglpjsKp,2021-12-14 09:34:57.294000+00:00,oem-nodejs,carChassisNumber/DENM,c48e6a77-490a-4175-a11c-81a1c8d0fd7d,recv
yY5LuH0BX0lHpglpjsKp,2021-12-14 09:34:57.493000+00:00,oem-nodejs,carChassisNumber/DENM,3b9588ac-226a-4509-8907-aa1c06463bab,recv
y45LuH0BX0lHpglpjsKp,2021-12-14 09:34:57.693000+00:00,oem-nodejs,carChassisNumber/DENM,22c3f422-c552-43e2-8c36-7a23f6943fbb,recv
zY5LuH0BX0lHpglpjsKp,2021-12-14 09:34:57.886000+00:00,oem-nodejs,carChassisNumber/DENM,72d4d2f1-6cfb-4ca8-a87e-b14a6fc48e3d,recv
z45LuH0BX0lHpglpjsKp,2021-12-14 09:34:58.096000+00:00,oem-nodejs,carChassisNumber/DENM,0233d567-7196-4b24-af0e-9de48c7db943,recv
6Y5LuH0BX0lHpglpksKW,2021-12-14 09:34:58.301000+00:00,oem-nodejs,carChassisNumber/DENM,8905355e-7cd7-4dfc-bb1f-8170fc35bbcf,recv
645LuH0BX0lHpglpksKW,2021-12-14 09:34:58.498000+00:00,oem-nodejs,carChassisNumber/DENM,143c2f53-dd16-4fbd-aec0-4a4cdff29a06,recv
7Y5LuH0BX0lHpglpksKW,2021-12-14 09:34:58.626000+00:00,oem-nodejs,carChassisNumber/DENM,714e51e9-9f4e-4dc7-bfc8-89aa6a4f04e7,recv
745LuH0BX0lHpglpksKW,2021-12-14 09:34:58.781000+00:00,oem-nodejs,carChassisNumber/DENM,342d4acc-fe3d-4da7-a23c-9543db75d48f,recv
8Y5LuH0BX0lHpglpksKW,2021-12-14 09:34:59.090000+00:00,oem-nodejs,carChassisNumber/DENM,c80b19e5-d75c-402f-82b1-0bdf18dae35f,recv
845LuH0BX0lHpglpksKW,2021-12-14 09:34:59.201000+00:00,oem-nodejs,carChassisNumber/DENM,9c5dea99-b4c7-46f8-bc7f-d2c3f958c8b4,recv
FY5LuH0BX0lHpglplsN-,2021-12-14 09:34:59.409000+00:00,oem-nodejs,carChassisNumber/DENM,2128937a-cf1b-4d22-be37-dc9f3660a667,recv
F45LuH0BX0lHpglplsN-,2021-12-14 09:34:59.605000+00:00,oem-nodejs,carChassisNumber/DENM,6d24e929-44ac-47c6-8530-a91004971987,recv
GY5LuH0BX0lHpglplsN-,2021-12-14 09:34:59.807000+00:00,oem-nodejs,carChassisNumber/DENM,f63b3428-2ea8-43e9-8398-2f7d69f23595,recv
G45LuH0BX0lHpglplsN-,2021-12-14 09:34:59.994000+00:00,oem-nodejs,carChassisNumber/DENM,c85b8145-0e71-4acf-b804-ca46eafd20a9,recv
HY5LuH0BX0lHpglplsN-,2021-12-14 09:35:00.227000+00:00,oem-nodejs,carChassisNumber/DENM,1062f135-c271-4354-add0-31c75cc0e3e8,recv
7o5LuH0BX0lHpglpwcSd,2021-12-14 09:35:10.306000+00:00,oem-nodejs,carChassisNumber/DENM,38d1a773-bb3b-4fde-aafd-c712b7a93cf7,recv
8I5LuH0BX0lHpglpwcSd,2021-12-14 09:35:10.495000+00:00,oem-nodejs,carChassisNumber/DENM,6c922cd1-0a97-4a22-a9d1-9fc79c4ad68e,recv
8o5LuH0BX0lHpglpwcSd,2021-12-14 09:35:10.705000+00:00,oem-nodejs,carChassisNumber/DENM,18b6e0ce-8393-4b76-aa01-34dfb095dd6c,recv
9I5LuH0BX0lHpglpwcSd,2021-12-14 09:35:10.900000+00:00,oem-nodejs,carChassisNumber/DENM,f29a4ce1-86e2-4634-9abc-0f44863ac6ec,recv
9o5LuH0BX0lHpglpwcSd,2021-12-14 09:35:11.099000+00:00,oem-nodejs,carChassisNumber/DENM,dce7b8f9-16fc-412c-ab4c-072d77f10b9e,recv
Oo5LuH0BX0lHpglpxcWG,2021-12-14 09:35:11.309000+00:00,oem-nodejs,carChassisNumber/DENM,486d512e-b81e-41c9-9390-2944275ccb84,recv
PI5LuH0BX0lHpglpxcWG,2021-12-14 09:35:11.511000+00:00,oem-nodejs,carChassisNumber/DENM,87d52f8e-dce7-42af-921f-97f8463db176,recv
Po5LuH0BX0lHpglpxcWG,2021-12-14 09:35:11.704000+00:00,oem-nodejs,carChassisNumber/DENM,07c2197a-7903-4189-b970-432df92b6413,recv
